Name,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Dept
student41,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,総務
student42,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,総務
student43,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,総務
student44,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,総務
student45,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,総務
student46,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,総務
student47,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,総務
student48,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,総務
student49,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,総務
student50,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,総務
student51,0,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,総務
student52,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,総務
student53,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,総務
student54,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,総務
student55,1,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,総務
student56,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,総務
student57,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,総務
student58,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,総務
student59,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,総務
student60,0,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,総務
student61,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,広報
student62,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,広報
student63,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,広報
student64,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,広報
student65,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1,広報
student66,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,広報
student67,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,広報
student68,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,広報
student69,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,広報
student70,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,広報
student71,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,広報
student72,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,広報
student73,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,広報
student74,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,広報
student75,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,広報
student76,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,広報
student77,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,広報
student78,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,広報
student79,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,広報
student80,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,広報
student81,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,企画
student82,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,企画
student83,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,企画
student84,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,企画
student85,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,企画
student86,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,企画
student87,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,企画
student88,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,企画
student89,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,企画
student90,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,企画
student91,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,企画
student92,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,企画
student93,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,企画
student94,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,企画
student95,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,1,企画
student96,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,企画
student97,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,企画
student98,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,企画
student99,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,企画
student100,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,企画
